,date,district,true,pred
115,2022-01-22,paschim medinipur,221.0,486.37903
116,2022-01-23,paschim medinipur,146.0,459.24933
117,2022-01-24,paschim medinipur,198.0,321.21475
118,2022-01-25,paschim medinipur,171.0,253.03703
119,2022-01-19,purba bardhaman,554.0,615.1337
120,2022-01-20,purba bardhaman,563.0,747.0029
121,2022-01-21,purba bardhaman,421.0,758.5114
122,2022-01-22,purba bardhaman,463.0,809.04565
123,2022-01-23,purba bardhaman,399.0,818.0143
124,2022-01-24,purba bardhaman,153.0,687.9008
125,2022-01-25,purba bardhaman,137.0,586.2903
126,2022-01-19,purba medinipur,141.0,262.98874
127,2022-01-20,purba medinipur,154.0,248.38634
128,2022-01-21,purba medinipur,135.0,313.84378
129,2022-01-22,purba medinipur,112.0,216.70796
130,2022-01-23,purba medinipur,107.0,250.91864
131,2022-01-24,purba medinipur,48.0,207.21071
132,2022-01-25,purba medinipur,75.0,134.60135
133,2022-01-19,purulia,250.0,303.7589
134,2022-01-20,purulia,193.0,343.34048
135,2022-01-21,purulia,174.0,362.8272
136,2022-01-22,purulia,158.0,403.10022
137,2022-01-23,purulia,145.0,399.91895
138,2022-01-24,purulia,70.0,397.42877
139,2022-01-25,purulia,78.0,419.19577
140,2022-01-19,south 24 parganas,888.0,1157.0615
141,2022-01-20,south 24 parganas,750.0,1246.3225
142,2022-01-21,south 24 parganas,605.0,1194.4854
143,2022-01-22,south 24 parganas,731.0,1180.06
144,2022-01-23,south 24 parganas,484.0,1139.3519
145,2022-01-24,south 24 parganas,278.0,1264.5205
146,2022-01-25,south 24 parganas,423.0,922.2657
147,2022-01-19,total,11447.0,17466.756
148,2022-01-20,total,10959.0,18605.535
149,2022-01-21,total,9154.0,19148.326
150,2022-01-22,total,9191.0,21614.354
151,2022-01-23,total,6980.0,21882.459
152,2022-01-24,total,4546.0,23175.348
153,2022-01-25,total,4494.0,17756.326
154,2022-01-19,uttar dinajpur,257.0,395.3156
155,2022-01-20,uttar dinajpur,260.0,481.302
156,2022-01-21,uttar dinajpur,279.0,417.7861
157,2022-01-22,uttar dinajpur,205.0,388.51163
158,2022-01-23,uttar dinajpur,160.0,289.41714
159,2022-01-24,uttar dinajpur,94.0,209.91725
160,2022-01-25,uttar dinajpur,167.0,81.779366
