date,district,true,pred
2022-01-25,north 24 parganas,583.0,910.8497314453125
2022-01-19,paschim bardhaman,417.0,424.5594177246094
2022-01-20,paschim bardhaman,399.0,464.0086975097656
2022-01-21,paschim bardhaman,345.0,495.02569580078125
2022-01-22,paschim bardhaman,180.0,436.94293212890625
2022-01-23,paschim bardhaman,258.0,336.0251159667969
2022-01-24,paschim bardhaman,134.0,385.13421630859375
2022-01-25,paschim bardhaman,82.00000762939453,297.4475402832031
2022-01-19,paschim medinipur,241.0,287.5966796875
2022-01-20,paschim medinipur,234.0,270.0240783691406
2022-01-21,paschim medinipur,171.0,277.5371398925781
2022-01-22,paschim medinipur,221.0,233.5928192138672
2022-01-23,paschim medinipur,146.0,269.1912536621094
2022-01-24,paschim medinipur,198.0,213.41481018066406
2022-01-25,paschim medinipur,171.0,244.25074768066406
2022-01-19,purba bardhaman,554.0,427.7786865234375
2022-01-20,purba bardhaman,563.0,529.6295166015625
2022-01-21,purba bardhaman,421.0,551.5722045898438
2022-01-22,purba bardhaman,463.0,489.65643310546875
2022-01-23,purba bardhaman,399.0,514.531982421875
2022-01-24,purba bardhaman,153.0,485.4212341308594
2022-01-25,purba bardhaman,137.0,348.2875671386719
2022-01-19,purba medinipur,141.0,177.61468505859375
2022-01-20,purba medinipur,154.0,172.0655059814453
2022-01-21,purba medinipur,135.0,171.13548278808594
2022-01-22,purba medinipur,112.0,164.6074981689453
2022-01-23,purba medinipur,107.0,149.55467224121094
2022-01-24,purba medinipur,48.0,136.647705078125
2022-01-25,purba medinipur,75.0,106.47449493408203
2022-01-19,purulia,250.0,89.35460662841797
2022-01-20,purulia,193.00001525878906,211.94871520996094
2022-01-21,purulia,174.0,171.1272735595703
2022-01-22,purulia,158.0,153.05096435546875
2022-01-23,purulia,145.0,138.55177307128906
2022-01-24,purulia,70.0,126.51200103759766
2022-01-25,purulia,77.99999237060547,70.7188491821289
2022-01-19,south 24 parganas,888.0,847.195556640625
2022-01-20,south 24 parganas,750.0,866.62890625
2022-01-21,south 24 parganas,605.0,806.5628051757812
2022-01-22,south 24 parganas,731.0,740.5244750976562
2022-01-23,south 24 parganas,484.0000305175781,817.8329467773438
2022-01-24,south 24 parganas,278.0,657.2717895507812
2022-01-25,south 24 parganas,423.0000305175781,542.1627807617188
2022-01-19,uttar dinajpur,257.0,449.4989013671875
2022-01-20,uttar dinajpur,260.0,322.7251892089844
2022-01-21,uttar dinajpur,279.0,323.5105285644531
2022-01-22,uttar dinajpur,205.0,333.1490783691406
2022-01-23,uttar dinajpur,160.0,263.71270751953125
2022-01-24,uttar dinajpur,94.0,216.65672302246094
2022-01-25,uttar dinajpur,167.0,153.07626342773438
