date,district,true,pred
2022-01-19,paschim bardhaman,417.0,439.9393310546875
2022-01-20,paschim bardhaman,399.0,480.2924499511719
2022-01-21,paschim bardhaman,345.0,516.951416015625
2022-01-22,paschim bardhaman,180.0,456.0404968261719
2022-01-23,paschim bardhaman,258.0,359.7353210449219
2022-01-24,paschim bardhaman,134.0,403.6092834472656
2022-01-25,paschim bardhaman,82.00000762939453,317.9045104980469
2022-01-19,paschim medinipur,241.0,307.60394287109375
2022-01-20,paschim medinipur,234.0,294.2898254394531
2022-01-21,paschim medinipur,171.0,301.5060729980469
2022-01-22,paschim medinipur,221.0,259.58624267578125
2022-01-23,paschim medinipur,146.0,283.921875
2022-01-24,paschim medinipur,198.0,231.53465270996094
2022-01-25,paschim medinipur,171.0,250.31484985351562
2022-01-19,purba bardhaman,554.0,436.4927673339844
2022-01-20,purba bardhaman,563.0,532.7106323242188
2022-01-21,purba bardhaman,421.0,560.5972900390625
2022-01-22,purba bardhaman,463.0,490.95697021484375
2022-01-23,purba bardhaman,399.0,516.5084228515625
2022-01-24,purba bardhaman,153.0,472.5870056152344
2022-01-25,purba bardhaman,137.0,337.3552551269531
2022-01-19,purba medinipur,141.0,161.38780212402344
2022-01-20,purba medinipur,154.0,165.09844970703125
2022-01-21,purba medinipur,135.0,164.02186584472656
2022-01-22,purba medinipur,112.0,163.83775329589844
2022-01-23,purba medinipur,107.0,154.6753692626953
2022-01-24,purba medinipur,48.0,143.0980682373047
2022-01-25,purba medinipur,75.0,123.90914154052734
2022-01-19,purulia,250.0,113.62846374511719
2022-01-20,purulia,193.00001525878906,200.91860961914062
2022-01-21,purulia,174.0,175.0723876953125
2022-01-22,purulia,158.0,161.3676300048828
2022-01-23,purulia,145.0,149.83570861816406
2022-01-24,purulia,70.0,138.6265869140625
2022-01-25,purulia,77.99999237060547,95.99251556396484
2022-01-19,south 24 parganas,888.0,884.7406616210938
2022-01-20,south 24 parganas,750.0,893.973388671875
2022-01-21,south 24 parganas,605.0,841.0333251953125
2022-01-22,south 24 parganas,731.0,787.4494018554688
2022-01-23,south 24 parganas,484.0000305175781,828.8131713867188
2022-01-24,south 24 parganas,278.0,683.7841796875
2022-01-25,south 24 parganas,423.0000305175781,588.013427734375
2022-01-19,total,11447.0,11392.2421875
2022-01-20,total,10959.0,12246.4775390625
2022-01-21,total,9154.0,12204.3212890625
2022-01-22,total,9191.0,11203.4619140625
2022-01-23,total,6980.0,11172.0146484375
2022-01-24,total,4546.0,9722.46484375
2022-01-25,total,4494.0,8118.671875
2022-01-19,uttar dinajpur,257.0,416.77728271484375
2022-01-20,uttar dinajpur,260.0,327.2330017089844
2022-01-21,uttar dinajpur,279.0,333.1959228515625
2022-01-22,uttar dinajpur,205.0,347.7012023925781
2022-01-23,uttar dinajpur,160.0,302.0717468261719
2022-01-24,uttar dinajpur,94.0,263.698974609375
2022-01-25,uttar dinajpur,167.0,207.1783905029297
